category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,3,65,&Oslash;VB,,ffffff,0073b7,ffffff,Duncan Slator OVB,gb,964997,,0
A,1,42,BRT,,ffffff,050505,ff8100,Phil Whiteley,gb,161329,gold,0
A,1,39,V.C SPUTNIK,,ffffff,0073b7,ffffff,Saburo Taniguti,jp,1438282,silver,0
A,1,37,TFC,,111111,f3f300,111111,Glenn Utteridge [TFC],gb,1480606,bronze,0
A,1,35,,,,,,_ Smithy&#129322;,gb-wls,70787,,0
A,1,34,Vikings,,c2c2c2,0073b7,ee6331,Eivind Botten [V]&#129413;,no,825773,gold,0
A,1,31,,,,,,Roel Verhoeven,nl,419839,silver,0
A,1,31,ARRODA,,ffffff,0073b7,ffffff,Stephane Wins [Arroda],be,1608892,,0
A,1,29,SJBC,,ffffff,0073b7,ffffff,Richard Jones,us,116805,bronze,0
A,1,29,BRT,,ffffff,050505,ff8100,Hywel Davies (BRT),gb-wls,1119043,,0
A,1,27,,,,,,Joe Rees,gb-wls,1722048,,0
A,1,27,VCK,,ffffff,000000,ffffff,Sune Guldbrand Hansen (Vejle CK),dk,644293,,0
A,1,25,EVO,,ff8329,6c47ff,ffffff,Tom Ford,gb-eng,19682,,0
A,2,24,RuhrRiders,,ff8700,000000,5cb0fc,Matthias Bl&uuml;mel [R2],de,855399,silver,0
A,1,23,TeamNL,,ffffff,ffa500,ffa500,Gudo Hartog,nl,187304,,0
A,1,23,,,,,,Jules Rau,de,954528,,0
A,1,21,,,,,,Alexander Bojsen,dk,131584,,0
A,1,21,026,,ffffff,0073b7,ffffff,Steef Burghouts,nl,173986,,0
A,1,19,LFCC,,000000,00ff4e,000000,TJ KEY - HUNT BIKE WHEELS,gb,502554,,0
A,1,19,VRM,,0000ff,ff00e9,000000,George Olive &#9419;,gb,80614,,0
A,1,18,,,,,,Matt Zenovich,nz,384578,gold,0
A,1,17,,,,,,Steve Munday,gb,45176,,0
A,1,17,Equipe JZQc,,ffffff,003399,ffffff,Francis Gagn&eacute;,ca,52448,,0
A,1,15,DBR,,ffffff,eb7b2a,ffffff,S&oslash;ren Kruse Pedersen,dk,1044086,,0
