category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
C,1,18,KIRCHMAIR e-Cycling,,210606,f2e80d,000103,K. Ben Schwarz (Kirchmair 3),de,1435382,gold,0
C,1,15,TugaZ,,ffffff,ff1f00,33735b,Paulo Pereira,pt,1297477,silver,0
C,1,15,,,,,,Ciaran Cronin,ie,1882091,silver,0
C,1,15,BRT,,ffffff,050505,ff8100,Josh Dale,us,1282514,silver,0
C,1,13,,,,,,Csaba Herczeg,sk,1541460,bronze,0
C,1,13,,,,,,Pablo Pazos,es,1305012,bronze,0
C,1,13,,,,,,Cheyne Voss [DIRT],gb,2243702,bronze,0
C,1,13,BRT,,ffffff,050505,ff8100,Liam McCormick,gb,698819,bronze,0
C,1,11,,,,,,Will Fuller (Herd of Honey Badgers),gb,95232,,0
C,1,11,,,,,,Stewart Cameron,gb-sct,2026704,,0
C,1,11,,,,,,Ciaran Durcan,ie,1437437,,0
C,1,11,BRT,,ffffff,050505,ff8100,Brad Boulton,us,19022,,0
C,1,10,TeamODZ,,ff851b,111111,3c8dbc,Steve Kirk TeamODZ/AFC,us,10794,gold,0
C,1,9,,,,,,Paul  Hammer,de,1458637,,0
C,2,9,PCC &#128693;,,ffffff,0073b7,ffffff,Andy Phillips (PCC),gb,703765,gold,1
C,1,9,ZTPL.CC,,ffffff,ff1800,ff0000,Wojtek Tutaj,pl,1365408,,0
C,1,9,,,,,,Robert Hetherington,gb,1451474,,0
C,1,7,,,,,,Uncle Paul,nl,1183698,silver,0
C,1,7,teamWKG,,fa5e06,3f4c54,3f4c54,Reece Cooper (WKG Go Go Juice),gb,1843036,,0
C,1,7,,,,,,Bob Hogg (Tri AG-L),gb,686600,silver,0
C,1,7,BRT,,ffffff,050505,ff8100,Mark Bergenske,us,842497,,0
C,1,7,[E-Tron],,ffffff,0073b7,ffffff,Jeremy [E-Tron],fr,1449051,,0
C,1,7,BRT,,ffffff,050505,ff8100,David Swan [BRT] (BRT Tequilla Chasers),gb-wls,246094,,0
C,1,5,,,,,,Chris Ramos,us,2507907,bronze,0
C,1,5,MQT,,ffffff,0073b7,ffffff,Alberto Cabestany (MARQUES TEAM),es,1452535,,0
C,1,5,CPT,,ffffff,0073b7,ffffff,Peter Klaij,nl,1431154,bronze,0
C,1,5,MTR.CC,,ffffff,0073b7,ffffff,Lee Adams (MTR.CC),gb,644584,,0
C,1,5,TugaZ,,ffffff,ff1f00,33735b,Celso Mestre [TugaZ],pt,1796887,,0
C,1,5,,,,,,Terry Dodsworth,gb-eng,163762,,0
C,2,3,BRT,,ffffff,050505,ff8100,Matt Tapping,gb,206023,gold,1
C,1,3,,,,,,M. ROSSINI,it,2141405,,0
C,1,3,,,,,,Graziano  Beltrami,it,1362670,,0
C,1,3,,,,,,Jonathan Sweet,us,1725837,,0
C,1,2,,,,,,Andy Nelder,gb,1309177,,0
C,1,1,,,,,,Stuart Walters,gb,397782,,0
C,1,1,,,,,,Xavier Vallve,ad,2075771,,0
D,1,10,,,,,,Scott Jenkin,gb,1646259,gold,0
D,1,10,,,,,,Lee Owen,gb-wls,1342227,gold,0
D,1,10,BTC,,ffffff,0073b7,ffffff,Kjell Eirik Henanger (BTC Master),no,868300,gold,0
D,1,7,WTRL,,d4af37,000000,d4af37,Marko Seunninga (Edam),nl,1411678,silver,0
D,1,7,PROTEU@PT,,f0e1e1,e80e0e,120101,Pedro Campos [Proteu],pt,2395356,silver,0
D,1,7,,,,,,Trevor Wakenshaw,gb-sct,2003779,silver,0
D,1,5,,,,,,P O Shaughnessy,ie,358478,bronze,0
D,1,3,Vikings,,c2c2c2,0073b7,ee6331,Bj&oslash;rn Ove Grjotr [V] (Berserker),no,95736,,0
D,1,1,,,,,,Eduardo S-C,es,2316426,,0
