category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,2,40,Hitchin Nomads,2722,ffffff,0073b7,ffffff,Scott Horwood HNCC,gb,440567,silver,0
A,1,26,Groove SES,3003,ffffff,0073b7,ffffff,Kevin Selker,mx,696782,gold,0
A,1,26,,0,00dd00,,,Richard Mapley,gb,14671,gold,0
A,1,23,Madison Genesis,3690,ffffff,00adaf,fd3600,Ian Bibby,gb,71645,silver,0
A,1,21,GPN,2601,ffffff,0073b7,ffffff,Michael Parry,gb,237719,bronze,0
A,1,21,KISS RT,36,f56600,012350,84b7ca,chris Siepen,gb,218285,bronze,0
A,1,19,,0,00dd00,,,John Hale,gb,315019,,0
A,1,19,ZHR,1979,ff0000,03228c,03228c,Rick Sorenson,us,197869,,0
A,1,17, VEGAN ,1845,ffffff,00a65a,0adb2c,Will Green,gb,399040,,0
A,1,15,PTz,1,ffffff,403d3a,e3680f,Jos&eacute; Figueiredo,pt,394401,,0
A,1,15,,0,00dd00,,,Mizmushi Pedal,jp,545587,,0
A,1,13,,0,00dd00,,,Martin Browne,gb,91807,,0
A,1,13,BRT,4,ffffff,050505,ff8100,David Crawford,gb,679365,,0
A,1,11,BRT,4,ffffff,050505,ff8100,Adam Machan,gb,219813,,0
A,1,11,,0,00dd00,,,Mark McConnochie,gb,920926,,0
A,1,9,Organicsport.dk ,3574,ffffff,5b9e1f,ffffff,Kristian Trier Nipper,dk,621635,,0
A,1,9,,0,00dd00,,,Erwin Schuit,nl,1004328,,0
A,1,7,DBR,1986,ffffff,eb7b2a,ffffff,Jens Spedsbjerg [DBR],dk,612542,,0
A,1,7,,0,00dd00,,,Lothar B.,de,420161,,0
A,1,5,,0,00dd00,,,Anthony Monteleone 3008,us,314515,,0
A,1,5,Vikings,90,c2c2c2,0073b7,ee6331,Bernard Opedal,no,586093,,0
A,1,4,,0,00dd00,,,Mimi Freaze8924,de,884943,,0
A,1,4,,0,00dd00,,,Gert Osselaer,be,703879,,0
A,1,3,,0,00dd00,,,Tom Mews,gb,964648,,0
A,1,3,,0,00dd00,,,Mathew Procter,gb,447607,,0
A,1,2,BRT,4,ffffff,050505,ff8100,Tom  Smith - LWCC,gb,73288,,0
