category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
C,2,00:53:19.3,,,,,,Crystal Strong,us,816765,,0
D,2,01:04:35.5,REVO,2672,fc00e3,000000,fc00e3,Sara Perrin [REVO],us,420144,,0
