category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
B,P 4,03:38:15.6,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,Angela MacRae (CRYO-GEN) CG-A1,au,1332978,,0
B,P 4,+03:02.5,,,,,,Leonie Dijkstra,nl,1016132,,0
B,P 3,+07:21.6,BRT,4,ffffff,050505,ff8100,Jessica Hamilton,nz,653395,,0
