category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
C,2,26,BRT,4,ffffff,050505,ff8100,Ade Manning (BRT),gb-eng,77820,,0
C,5,24,BRT,4,ffffff,050505,ff8100,Paul Renton,gb,210682,,0
C,5,21,BRT,4,ffffff,050505,ff8100, Art Pacione [BRT],us,112213,,0
C,1,19,RuhrRiders,41,ff8700,000000,5cb0fc,Ingo Sch&ouml;rgenhummer (R2) ,de,61261,,0
C,1,17,RuhrRiders,41,ff8700,000000,5cb0fc,Thomas Reinecke,de,209977,,0
C,1,9,BRT,4,ffffff,050505,ff8100,Olly Gray,gb,167741,,0
C,2,9,,0,00dd00,,,Jon Hume,gb,465110,,0
C,1,8,,0,00dd00,,,kim olesen3733,dk,178570,,0
C,1,6,,0,00dd00,,,Richard Doornbos,nl,100382,,0
C,1,5,,0,00dd00,,,Vincent Galatro,us,1144548,,0
C,3,4,BRT,4,ffffff,050505,ff8100,Alan Millard,gb-eng,482477,,0
C,1,3,KIRCHMAIR e-Cycling,2991,210606,f2e80d,000103,Chris Probst (KC),de,1248069,,0
C,2,2,,0,00dd00,,,Mark Bergenske,us,842497,,0
C,1,1,,0,00dd00,,,John Helvey,us,481688,,0
C,1,1,Team CLS,1426,3d9970,ffffff,ffffff,Rune Endresen-Graneng,no,108645,,0
C,1,1,ZESP,2146,000000,fabd00,ad1519,toni cb,es,185907,,0
D,5,146,,0,00dd00,,,Robin Andersson,se,880343,,0
D,1,63,,0,00dd00,,,Curtis Linton,ca,995853,,0
D,1,21,,0,00dd00,,,The Flea,gb-sct,1460499,,0
D,1,20,,0,00dd00,,,Dan Perren,gb,193442,,0
D,1,20,ZRG,1942,1bc1f1,3d3d3d,1bc1f1,Arnold Tuitman,nl,636696,,0
D,1,20,TeamZF,1469,ffffff,0073b7,ffffff,Nikolaos Prevenios ,gr,428283,,0
D,1,15,Team CRYO-GEN,2740,ffffff,0073b7,ffffff,chris faulds,gb-sct,230862,,0
D,1,15,,0,00dd00,,,RT Firefly,us,291148,,0
D,5,14,,0,00dd00,,,Peter Karwowski ,us,430883,,0
D,2,10,BRT,4,ffffff,050505,ff8100,Ade Owens (BRT),gb-wls,253453,,0
D,1,3,,0,00dd00,,,Nicolas VIVIER,fr,824486,,0
