category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,1,50,Team CRYO-GEN,,ffffff,0073b7,ffffff,Angela MacRae (CRYO-GEN),au,1332978,gold,0
A,1,50,Team AHDR,,fc6955,55d4fc,ffffff,S  Jane (AHDRL),gb,991785,gold,0
A,1,40,Team CRYO-GEN,,ffffff,0073b7,ffffff,Heather Mayne (CRYO-GEN Vultures),gb,817160,silver,0
B,1,50,Team CRYO-GEN,,ffffff,0073b7,ffffff,Krista Kadatz,ca,928030,gold,0
B,1,50,Team CRYO-GEN,,ffffff,0073b7,ffffff,Karen Loomis (CRYO-GEN),us,849651,gold,0
B,1,50,BRT,,ffffff,050505,ff8100,Jessica Hamilton (BRT Draft Beers),nz,653395,gold,0
B,1,40,TFC,,111111,f3f300,111111,Sarah Barber,us,296530,silver,0
B,1,40,ZHR,,ff0000,03228c,03228c,Lisa jane  Lait &#129418;ZHR,gb,384525,silver,0
B,1,33,KISS RT,,f56600,012350,84b7ca,Inge Jansen,nl,126110,bronze,0
B,1,33,Team CRYO-GEN,,ffffff,0073b7,ffffff,Faye Faiers2301,gb,684120,bronze,0
B,1,28,OrkneyCC,,de3232,0f0606,eb3636,Olga Hamilton 5394,gb-sct,937749,,0
B,1,28,,,,,,Michaela Michi,at,885926,,0
B,1,25,KISS RT,,f56600,012350,84b7ca,Katie Levie &#128007;,us,269801,,0
C,1,50,BRT,,ffffff,050505,ff8100,D. Barreto BRT Hellcatz,mx,581267,gold,0
C,1,50,Team CRYO-GEN,,ffffff,0073b7,ffffff,Annaleen Visagie (CRYO-GEN Ravens),za,1235014,gold,0
C,1,40,BRT,,ffffff,050505,ff8100,Lisa Armistead,us,279546,silver,0
C,1,40,Team CRYO-GEN,,ffffff,0073b7,ffffff,Morgan Aldridge FRS (C),us,444737,silver,0
C,1,33,,,,,,Mariet Feltkamp,nl,565539,bronze,0
C,1,33,,,,,,Nao Yone,jp,765190,bronze,0
C,1,28,,,,,,Lauri Frederick,us,1421509,,0
C,1,25,ZSUN,,ffffff,0073b7,ffffff,Deb Zelisko ZSUN,ca,535263,,0
C,1,22,BRT,,ffffff,050505,ff8100,Giovanna Fantucchio,gb,399625,,0
D,1,50,Team Fearless,,001f3f,39cccc,01ff70,Stefanie Held,de,536821,gold,0
D,1,50,BRT,,ffffff,050505,ff8100,Laura Mitchell [BRT],gb,683476,gold,0
D,1,50,Team CRYO-GEN,,ffffff,0073b7,ffffff,Vivienne Powe CRYO-GEN,au,1320009,gold,0
D,1,40,Team CRYO-GEN,,ffffff,0073b7,ffffff,Leslie Arnett (CRYO-GEN Roadrunners),us,863921,silver,0
D,1,40,,,,,,Rachel Keel,nz,334482,silver,0
D,1,33,,,,,,colleen Isdale,us,702943,bronze,0
D,1,33,Team AHDR,,fc6955,55d4fc,ffffff,Carol Ng,au,167002,bronze,0
D,1,28,,,,,,Susan Downing (CR PHL),us,90683,,0
