category,events,points,tname,tid,tc,tbc,tbd,name,flag,zwid,podiums,upgrades
A,6,250,REVO,,fc00e3,000000,fc00e3,Catrina Weiss [REVO],us,4727,gold gold gold silver silver,0
A,5,220,BRT,,ffffff,050505,ff8100,Jessica Hamilton (BRT Hellkittens),nz,653395,gold gold gold gold,0
A,7,188,Team CRYO-GEN,,ffffff,0073b7,ffffff,Kerry Paul (CRYO-GEN),gb,115323,gold gold gold silver silver bronze,1
A,5,183,BRT,,ffffff,050505,ff8100,Nicole Smith (BRT Hellkittens),au,835950,gold gold bronze,0
A,4,163,REVO,,fc00e3,000000,fc00e3,JamieLee Wright [REVO] (USAC #561733),gg,324947,gold silver silver bronze,0
A,7,159,LiveByCycling,,ffffff,e10667,ffffff,Angela MacRae (LiveByCycling),au,1332978,silver silver bronze bronze,1
A,6,148,Team CRYO-GEN,,ffffff,0073b7,ffffff,Debbie Woods-Turner (CRYO-GEN Buzzards),ca,930698,silver bronze,1
A,4,140,REVO,,fc00e3,000000,fc00e3,52005 Daniela Istrate [REVO],ro,1056287,gold gold silver bronze,0
A,4,123,REVO,,fc00e3,000000,fc00e3,Yvonne Timewell,ca,473320,silver bronze bronze,0
A,7,119,REVO,,fc00e3,000000,fc00e3,52004 Maria Victoria Vazquez &#127856; [REVO],es,360262,bronze bronze,1
A,3,115,REVO,,fc00e3,000000,fc00e3,Tina Grobler (REVOcookiemonsters),gb,472879,gold silver,0
A,3,105,REVO,,fc00e3,000000,fc00e3,Becca Ward [REVO],us,651138,gold bronze,0
A,3,102,REVO,,fc00e3,000000,fc00e3,52007 Mallory MacRostie [REVO] USAC#593411,us,1549571,silver silver,0
A,2,80,,,,,,S&#039;annara Grove,za,729653,silver silver,0
A,3,72,,,,,,H KAMIO [GROVE.K],jp,1299280,gold,1
A,2,68,Scott ITA eRacing,,ffec00,000000,ffec00,Francesca Cauz,it,1048741,silver,0
A,2,68,Team CRYO-GEN,,ffffff,0073b7,ffffff,Cora Baltes [CRYO-GEN],ro,701096,silver,0
A,2,66,,,,,,Charlotte Watts,gb,617677,bronze bronze,0
A,2,55,Team AHDR,,fc6955,55d4fc,ffffff,Kath Mackay [AHDR],au,414764,silver,0
A,1,50,KendalCCRacing,,aed6f1,21618c,c0392b,Helen Jackson (Kendal CC Racers),gb,100251,gold,0
A,1,50,TCP,,000000,ffffff,a9a9a9,TCP Kulacha.C,th,1249702,gold,0
A,1,50,,,,,,Grace Brown,au,811025,gold,0
A,1,50,teamWKG,,fa5e06,3f4c54,3f4c54,Cassie Baldi (WKG VOMIT),gb,13266,gold,0
A,1,50,BRT,,ffffff,050505,ff8100,Mandy Hagman,us,494757,gold,0
A,1,40,Cramp Champs,,000000,ffffff,000000,Wang Dione [CRAMP Champs],sg,1299025,silver,0
A,1,40,ZSUNR,,ffd808,1c1300,ffffff,Iva  G&ouml;tz (ZSUNR - Hypernova),cz,525104,silver,0
A,1,40,Team AHDR,,fc6955,55d4fc,ffffff,Fran Bambust (AHDRL 1),be,427114,silver,0
A,1,33,,,,,,Lori &#128062;&#128062; Brault,us,190946,bronze,0
A,1,33,,,,,,Sarah Tihanyi,ch,470011,bronze,0
A,1,33,EVOQ.BIKE,,000000,ffffff,000000,Laura Matsen Ko [EVOQ],us,1402750,bronze,0
A,1,33,,,,,,Nicole Tittensor,us,282725,bronze,0
A,1,33,RR 2020,,ffffff,0073b7,ffffff,Tiina Kajan [RR 2020],fi,1104935,bronze,0
A,1,33,VCMM,,ffffff,0073b7,ffffff,Zo&eacute; Delachaux[VCMM],fr,1601403,bronze,0
A,1,28,,,,,,Gillian Leech,gb,59724,,0
A,1,28,HEINO RT,,ffffff,ff0000,ff3b3b,Maria Hoiriis [HEINO],dk,640583,,0
A,1,28,,,,,,L H,gb,512371,,0
A,1,28,REVO,,fc00e3,000000,fc00e3,Morgane Coston [REVO],fr,1864055,,0
